,date,fiscal_period,permno,gics_6d,ret_ex_3d,date_diff,doy_diff
49693,2021-07-20,2021-06-30,59459,403010,-0.030475032,-2,-4
49694,2021-10-19,2021-09-30,59459,403010,-0.0021442752,0,-2
49759,2021-08-04,2021-06-30,59483,203040,0.079727784,1,0
49760,2021-11-03,2021-09-30,59483,203040,0.1931,1,0
49829,2021-02-09,2020-12-31,59555,251020,0.039004304,4,2
49830,2021-05-14,2021-03-31,59555,251020,-0.026446998,3,1
49831,2021-08-04,2021-06-30,59555,251020,0.014110023,0,-2
49832,2021-11-05,2021-09-30,59555,251020,-0.03187265,0,-2
49882,2021-01-29,2020-12-31,59600,201060,-0.06808454,0,-2
49883,2021-04-30,2021-03-31,59600,201060,0.21255992,0,-2
49884,2021-08-13,2021-06-30,59600,201060,-0.07834714,7,5
49885,2021-10-29,2021-09-30,59600,201060,0.07581256,0,-2
49940,2021-02-12,2020-12-31,59619,151010,-0.031450313,0,-2
49941,2021-04-23,2021-03-31,59619,151010,0.022399694,-7,-7
49942,2021-07-23,2021-06-30,59619,151010,0.043190867,7,5
49943,2021-10-15,2021-09-30,59619,151010,0.06089036,0,-2
49976,2021-03-12,2020-12-31,59628,601010,-0.015509872,11,-5
49977,2021-08-05,2021-06-30,59628,601010,0.001973413,0,-2
49978,2021-11-04,2021-09-30,59628,601010,0.05585513,0,-2
50029,2021-02-23,2020-12-31,59774,201060,-0.0511465,0,-2
50030,2021-04-27,2021-03-31,59774,201060,0.055445645,-13,-15
50031,2021-08-03,2021-06-30,59774,201060,0.020960523,7,5
50054,2021-03-03,2020-12-31,60038,202010,0.05356862,6,4
50055,2021-07-22,2021-06-30,60038,202010,-0.0039411215,6,4
50056,2021-10-26,2021-09-30,60038,202010,-0.03227988,5,4
50112,2021-02-15,2020-12-31,60098,551010,,-3,-3
50113,2021-05-03,2021-03-31,60098,551010,0.019600464,-1,-3
50114,2021-08-02,2021-06-30,60098,551010,0.044025715,0,-2
50115,2021-11-01,2021-09-30,60098,551010,0.025188312,0,-2
50169,2021-02-24,2020-12-31,60186,351020,0.29724008,-5,-9
50170,2021-05-05,2021-03-31,60186,351020,-0.10329555,0,-2
50171,2021-08-03,2021-06-30,60186,351020,-0.14140089,0,-2
50172,2021-11-03,2021-09-30,60186,351020,0.23226912,0,0
50228,2021-02-04,2020-12-31,60206,201060,0.0041528987,0,-2
50229,2021-04-22,2021-03-31,60206,201060,-0.0060867406,0,0
50230,2021-07-22,2021-06-30,60206,201060,-0.003621063,-7,-10
50231,2021-10-21,2021-09-30,60206,201060,-0.07700249,0,-2
50288,2021-01-15,2020-12-31,60442,401010,-0.0053720325,0,0
50289,2021-04-16,2021-03-31,60442,401010,-0.010402158,0,0
50290,2021-07-14,2021-06-30,60442,401010,-0.0010417757,0,-2
50291,2021-10-15,2021-09-30,60442,401010,-0.028451974,0,0
50342,2021-01-28,2020-12-31,60468,201060,-0.060195073,1,-1
50343,2021-06-01,2021-03-31,60468,201060,0.047820993,-8,-10
50344,2021-08-10,2021-06-30,60468,201060,-0.042373594,12,10
50345,2021-10-27,2021-09-30,60468,201060,-0.00010310363,0,-2
50401,2021-01-26,2020-12-31,60506,201060,-0.008318701,0,-2
50402,2021-04-27,2021-03-31,60506,201060,-0.03492438,7,5
50403,2021-07-27,2021-06-30,60506,201060,-0.05944224,7,5
50404,2021-10-26,2021-09-30,60506,201060,-0.0052910284,7,5
50461,2021-02-10,2020-12-31,60599,501010,-0.07164809,0,-2
50462,2021-05-05,2021-03-31,60599,501010,0.008363586,0,-2
50463,2021-08-04,2021-06-30,60599,501010,-0.05709351,0,-2
50464,2021-11-03,2021-09-30,60599,501010,0.14280798,0,-2
50520,2021-02-03,2020-12-31,60687,403010,0.007587365,2,0
50521,2021-05-04,2021-03-31,60687,403010,-0.025769223,-6,-8
50522,2021-08-03,2021-06-30,60687,403010,0.028469509,-1,-2
50523,2021-11-02,2021-09-30,60687,403010,0.05520054,6,4
50582,2021-02-08,2020-12-31,60943,252010,-0.029062815,7,5
50583,2021-05-03,2021-03-31,60943,252010,0.055858877,0,-2
50584,2021-08-02,2021-06-30,60943,252010,0.0042060367,0,-2
50585,2021-11-01,2021-09-30,60943,252010,-0.09853415,0,-2
50641,2021-02-12,2020-12-31,60986,252010,-0.11064036,0,-2
50642,2021-04-30,2021-03-31,60986,252010,0.029646752,0,-2
50643,2021-07-30,2021-06-30,60986,252010,-0.0717384,0,-2
50644,2021-10-29,2021-09-30,60986,252010,0.06373111,0,-2
50695,2021-03-15,2020-12-31,61146,452030,-0.026214117,4,2
50696,2021-08-09,2021-06-30,61146,452030,0.04418379,4,1
50697,2021-11-09,2021-09-30,61146,452030,0.048501007,5,2
50753,2021-02-25,2020-12-31,61188,551020,-0.03895004,0,-1
50754,2021-05-06,2021-03-31,61188,551020,-0.023042843,0,-2
50755,2021-08-05,2021-06-30,61188,551020,-0.0132048605,0,-2
50756,2021-11-09,2021-09-30,61188,551020,-0.008393586,5,3
50829,2021-01-26,2020-12-31,61241,453010,0.0010661238,0,-2
50830,2021-04-27,2021-03-31,61241,453010,0.014652935,0,-2
50831,2021-07-27,2021-06-30,61241,453010,0.07513177,0,-2
50832,2021-10-26,2021-09-30,61241,453010,0.011617313,0,-2
50879,2021-03-02,2020-12-31,61269,201060,0.12705958,-8,-10
50880,2021-05-04,2021-03-31,61269,201060,-0.024135254,-1,-3
50881,2021-08-03,2021-06-30,61269,201060,-0.0998834,-1,-2
50882,2021-11-02,2021-09-30,61269,201060,0.034232028,0,-2
50926,2021-03-04,2020-12-31,61487,101020,0.12794572,0,-3
50927,2021-05-06,2021-03-31,61487,101020,-0.0446526,0,-2
50928,2021-08-12,2021-06-30,61487,101020,0.10790627,7,5
50929,2021-11-04,2021-09-30,61487,101020,-0.06829282,0,-2
50966,2021-02-11,2020-12-31,61496,251010,-0.0002012071,0,-2
50967,2021-04-29,2021-03-31,61496,251010,-0.046157595,0,-2
50968,2021-07-29,2021-06-30,61496,251010,0.041386645,0,-2
50969,2021-10-28,2021-09-30,61496,251010,-0.004641989,0,-2
51026,2021-02-11,2020-12-31,61508,352030,0.045182522,0,-2
51027,2021-04-29,2021-03-31,61508,352030,-0.0153454095,-7,-8
51028,2021-07-29,2021-06-30,61508,352030,0.05811379,0,-2
51029,2021-10-28,2021-09-30,61508,352030,0.014030987,0,-2
51086,2021-01-25,2020-12-31,61567,201010,-0.0758538,-7,-9
51087,2021-04-19,2021-03-31,61567,201010,0.05660543,0,-2
51088,2021-07-26,2021-06-30,61567,201010,0.0074172,0,-2
51089,2021-10-18,2021-09-30,61567,201010,-0.0514186,0,-2
51146,2021-02-05,2020-12-31,61735,403010,0.08878117,7,5
51147,2021-04-30,2021-03-31,61735,403010,0.056583963,0,-2
51148,2021-07-30,2021-06-30,61735,403010,-0.0056111836,0,-2
51149,2021-10-29,2021-09-30,61735,403010,-0.03301853,0,-2
51206,2021-02-04,2020-12-31,61743,202010,0.006347511,0,-2
51207,2021-05-06,2021-03-31,61743,202010,-0.032364655,0,-2
51208,2021-08-05,2021-06-30,61743,202010,-0.068953946,7,5
51209,2021-11-04,2021-09-30,61743,202010,-0.010133528,0,-2
51414,2021-02-09,2020-12-31,61946,551030,-0.01948947,5,3
51415,2021-05-04,2021-03-31,61946,551030,-0.04131203,1,-1
51416,2021-08-03,2021-06-30,61946,551030,0.036217406,1,-1
51417,2021-11-02,2021-09-30,61946,551030,0.01361482,1,-1
51525,2021-02-01,2020-12-31,62092,352030,0.028071173,4,2
51526,2021-04-29,2021-03-31,62092,352030,-0.03474893,8,6
51527,2021-07-28,2021-06-30,62092,352030,0.015465209,7,5
51528,2021-10-27,2021-09-30,62092,352030,0.0037480157,7,5
51585,2021-01-21,2020-12-31,62148,203040,-0.061289165,7,5
51586,2021-04-20,2021-03-31,62148,203040,0.049168166,-1,-3
51587,2021-07-21,2021-06-30,62148,203040,0.0316633,0,-2
51588,2021-10-20,2021-09-30,62148,203040,0.0056710485,0,-2
51627,2021-02-10,2020-12-31,62156,402040,-0.016887244,1,-1
51628,2021-04-28,2021-03-31,62156,402040,-0.02088246,1,-1
51629,2021-07-28,2021-06-30,62156,402040,0.015174778,0,-2
51630,2021-10-27,2021-09-30,62156,402040,0.014659992,-1,-3
51700,2021-02-02,2020-12-31,62308,403010,-0.016303882,-1,-2
51701,2021-04-21,2021-03-31,62308,403010,0.005069333,0,-2
51702,2021-07-21,2021-06-30,62308,403010,-0.004509391,0,-2
51703,2021-10-20,2021-09-30,62308,403010,-0.05393875,0,-2
51756,2021-02-24,2020-12-31,62341,101020,0.1474167,0,-2
51757,2021-05-05,2021-03-31,62341,101020,-0.0068033123,-1,-3
51758,2021-08-04,2021-06-30,62341,101020,-0.028041506,0,-2
51759,2021-11-03,2021-09-30,62341,101020,0.0049581504,0,-2
51811,2021-02-23,2020-12-31,62367,601010,0.00091207086,-1,-3
51812,2021-04-28,2021-03-31,62367,601010,0.004738785,-7,-9
51813,2021-07-28,2021-06-30,62367,601010,-0.011361799,7,5
51814,2021-10-27,2021-09-30,62367,601010,0.031394,7,5
51934,2021-11-15,2021-09-30,62391,101020,0.0982101,0,-2
51990,2021-02-18,2020-12-31,62498,352030,-0.03580603,7,5
51991,2021-04-29,2021-03-31,62498,352030,0.036468945,7,5
51992,2021-07-29,2021-06-30,62498,352030,0.08908736,7,5
51993,2021-10-28,2021-09-30,62498,352030,0.0068650427,7,5
52051,2021-02-03,2020-12-31,62958,302020,0.10389131,0,-2
52052,2021-08-11,2021-06-30,62958,302020,-0.068320885,7,4
52053,2021-11-12,2021-09-30,62958,302020,-0.09386517,9,7
52137,2021-01-26,2020-12-31,63125,451030,-0.10531304,-2,-2
52138,2021-05-18,2021-03-31,63125,451030,-0.01188337,-2,-4
52139,2021-07-27,2021-06-30,63125,451030,0.035510153,0,-2
52140,2021-10-26,2021-09-30,63125,451030,-0.17636591,0,-2
52192,2021-02-11,2020-12-31,63132,201010,-0.025530156,-7,-9
52193,2021-05-04,2021-03-31,63132,201010,-0.047100633,5,3
52194,2021-08-12,2021-06-30,63132,201010,-0.0073364223,14,12
52195,2021-11-02,2021-09-30,63132,201010,0.012457849,6,4
52273,2021-02-03,2020-12-31,63263,352020,-0.00046645122,0,-2
52274,2021-05-05,2021-03-31,63263,352020,0.00024844654,0,-2
52275,2021-08-05,2021-06-30,63263,352020,0.06865366,0,-2
52276,2021-11-03,2021-09-30,63263,352020,0.0455454,0,3
52364,2021-01-25,2020-12-31,63467,403010,-0.032277234,0,-2
52365,2021-04-26,2021-03-31,63467,403010,0.025278296,0,-2
52366,2021-07-26,2021-06-30,63467,403010,0.014515107,0,-2
52367,2021-10-25,2021-09-30,63467,403010,-0.031756938,0,-2
52476,2021-05-04,2021-03-31,63715,201040,0.0015869462,0,-2
52477,2021-08-03,2021-06-30,63715,201040,-0.032977402,0,-2
52478,2021-12-07,2021-09-30,63715,201040,0.11823456,0,-2
52521,2021-11-03,2021-09-30,63765,101020,-0.03510985,6,4
52576,2021-02-18,2020-12-31,63773,501020,-0.047633197,0,-2
52577,2021-05-06,2021-03-31,63773,501020,0.011676455,7,5
52578,2021-08-05,2021-06-30,63773,501020,-0.051335547,0,-2
52579,2021-11-04,2021-09-30,63773,501020,-0.014122437,0,-2
52781,2021-02-04,2020-12-31,64186,351020,-0.08327996,0,-2
52782,2021-05-07,2021-03-31,64186,351020,0.01449385,0,6
52783,2021-08-05,2021-06-30,64186,351020,-0.108276755,0,5
52784,2021-11-04,2021-09-30,64186,351020,-0.008872398,0,-2
52839,2021-02-23,2020-12-31,64194,351020,-0.010831262,5,5
52840,2021-04-27,2021-03-31,64194,351020,0.009750498,-1,-2
52841,2021-07-27,2021-06-30,64194,351020,-0.04244198,-1,-3
52842,2021-10-28,2021-09-30,64194,351020,0.08255598,0,-2
52929,2021-01-27,2020-12-31,64311,203040,0.0018940483,0,-2
52930,2021-04-28,2021-03-31,64311,203040,-0.014582416,0,-2
52931,2021-07-28,2021-06-30,64311,203040,-0.03855147,0,-2
52932,2021-10-27,2021-09-30,64311,203040,0.025491893,0,-2
52997,2021-01-27,2020-12-31,64390,403010,-0.030964183,0,-2
52998,2021-04-15,2021-03-31,64390,403010,0.0092311725,1,-1
52999,2021-07-15,2021-06-30,64390,403010,-0.0141312685,1,-1
53000,2021-10-14,2021-09-30,64390,403010,-0.010319573,1,-1
53057,2021-02-04,2020-12-31,64450,551020,-0.02336598,0,-2
53058,2021-05-06,2021-03-31,64450,551020,-0.010029088,0,-3
53059,2021-08-05,2021-06-30,64450,551020,-0.0100197755,0,-3
53060,2021-11-18,2021-09-30,64450,551020,0.02584909,-11,-13
53234,2021-02-24,2020-12-31,64653,601010,0.030525995,1,-1
53235,2021-04-28,2021-03-31,64653,601010,0.008594576,-1,-3
53236,2021-08-03,2021-06-30,64653,601010,-0.023524005,-1,-3
53237,2021-11-01,2021-09-30,64653,601010,0.020315567,-2,-4
53281,2021-03-29,2020-12-31,64805,101020,0.0036274085,28,16
53282,2021-08-13,2021-06-30,64805,101020,-0.027431505,7,5
53283,2021-11-12,2021-09-30,64805,101020,-0.007020177,7,5
53335,2021-02-25,2020-12-31,64929,151010,-0.035975825,-4,-6
53336,2021-05-06,2021-03-31,64929,151010,-0.016007556,-4,-6
53337,2021-08-03,2021-06-30,64929,151010,-0.01208102,-1,-3
53338,2021-11-04,2021-09-30,64929,151010,0.026009152,0,-2
53394,2021-02-12,2020-12-31,64936,551030,-0.040367518,3,1
53395,2021-05-04,2021-03-31,64936,551030,-0.02815265,0,-2
53396,2021-08-06,2021-06-30,64936,551030,0.0039461544,7,5
53397,2021-11-05,2021-09-30,64936,551030,-0.012741045,1,-1
53447,2021-01-27,2020-12-31,64961,351030,-0.1103203,6,4
53448,2021-05-26,2021-03-31,64961,351030,-0.12548627,-4,-7
53449,2021-07-29,2021-06-30,64961,351030,-0.00427546,0,-2
53450,2021-10-28,2021-09-30,64961,351030,0.09721385,7,5
53507,2021-01-21,2020-12-31,64995,401010,-0.0027487301,0,-2
53508,2021-04-20,2021-03-31,64995,401010,0.007707243,5,3
53509,2021-07-20,2021-06-30,64995,401010,-0.006270531,-1,-3
53510,2021-10-21,2021-09-30,64995,401010,0.011017364,1,-1
53549,2021-05-05,2021-03-31,65008,453010,-0.03305358,-1,-3
53550,2021-08-04,2021-06-30,65008,453010,-0.053835247,-1,-3
53551,2021-11-17,2021-09-30,65008,453010,-0.27297202,-1,-3
53692,2021-01-27,2020-12-31,65294,403010,-0.025479615,7,5
53693,2021-04-21,2021-03-31,65294,403010,0.003652809,1,-1
53694,2021-07-21,2021-06-30,65294,403010,-0.034196574,0,-2
53695,2021-10-20,2021-09-30,65294,403010,0.03489485,0,-2
53800,2021-03-11,2020-12-31,65365,151030,-0.23920584,9,7
53801,2021-08-05,2021-06-30,65365,151030,0.013235562,7,5
53802,2021-11-04,2021-09-30,65365,151030,-0.037511826,7,5
53858,2021-01-28,2020-12-31,65402,201020,0.020321436,2,0
53859,2021-04-29,2021-03-31,65402,201020,0.00055976456,-5,-7
53860,2021-07-29,2021-06-30,65402,201020,0.006266257,0,-2
53861,2021-10-28,2021-09-30,65402,201020,0.12544164,0,-2
53946,2021-01-29,2020-12-31,65700,151020,0.042640172,1,-1
53947,2021-04-28,2021-03-31,65700,151020,-0.04580575,0,-2
53948,2021-07-28,2021-06-30,65700,151020,-0.00018559847,0,-3
53949,2021-10-27,2021-09-30,65700,151020,0.018627008,0,-2
53961,2021-03-09,2020-12-31,65752,202010,-0.028387157,-2,-4
53962,2021-08-03,2021-06-30,65752,202010,-0.15040475,0,-2
53963,2021-11-12,2021-09-30,65752,202010,-0.43373805,9,7
54029,2021-01-26,2020-12-31,65875,501010,-0.025943955,-2,-4
54030,2021-04-21,2021-03-31,65875,501010,-0.008518968,0,-4
54031,2021-07-21,2021-06-30,65875,501010,-0.0081229275,0,-4
54032,2021-10-20,2021-09-30,65875,501010,0.021545697,0,-2
54085,2021-02-09,2020-12-31,65947,601010,-0.029616889,-1,-3
54086,2021-04-28,2021-03-31,65947,601010,-0.024324689,-7,-9
54087,2021-07-29,2021-06-30,65947,601010,-0.015050068,-6,-8
54088,2021-11-04,2021-09-30,65947,601010,0.023712099,8,6
54156,2021-01-27,2020-12-31,66093,501010,-0.002593274,0,-2
54157,2021-04-22,2021-03-31,66093,501010,0.043997668,0,-1
54158,2021-07-22,2021-06-30,66093,501010,0.0018719647,0,-2
54159,2021-10-21,2021-09-30,66093,501010,-0.012077422,0,-2
54240,2021-01-20,2020-12-31,66157,401010,-0.04177387,0,5
54241,2021-04-15,2021-03-31,66157,401010,3.054844e-05,0,-1
54242,2021-07-15,2021-06-30,66157,401010,0.020831266,0,-1
54243,2021-10-14,2021-09-30,66157,401010,-0.043062743,0,-1
54300,2021-02-02,2020-12-31,66245,252010,0.008567053,5,3
54301,2021-04-29,2021-03-31,66245,252010,-0.022667611,-6,-7
54302,2021-07-29,2021-06-30,66245,252010,0.042976994,2,0
54303,2021-10-28,2021-09-30,66245,252010,-0.0340039,0,-2
54367,2021-01-27,2020-12-31,66325,402020,0.077706486,7,5
54368,2021-04-21,2021-03-31,66325,402020,-0.022229115,0,-2
54369,2021-07-21,2021-06-30,66325,402020,-0.04386988,0,-2
54370,2021-10-20,2021-09-30,66325,402020,0.023827376,0,-2
54427,2021-01-28,2020-12-31,66384,452020,0.12755829,0,-2
54428,2021-04-29,2021-03-31,66384,452020,-0.0150566045,0,-2
54429,2021-08-04,2021-06-30,66384,452020,0.027226549,0,-2
54430,2021-10-28,2021-09-30,66384,452020,-0.072270185,1,-1
54508,2021-07-28,2021-06-30,66683,101010,-0.028461099,0,-2
54598,2021-02-16,2020-12-31,66800,403010,0.007200646,5,3
54599,2021-05-06,2021-03-31,66800,403010,0.011388981,2,1
54600,2021-08-05,2021-06-30,66800,403010,0.059304062,2,1
54601,2021-11-04,2021-09-30,66800,403010,-0.033757605,0,-2
54656,2021-06-01,2021-03-31,67029,452030,-0.041481197,-7,-9
54657,2021-08-05,2021-06-30,67029,452030,0.046002235,2,0
54658,2021-11-03,2021-09-30,67029,452030,-0.05054577,0,-2
54719,2021-02-02,2020-12-31,67360,551030,-0.0014671045,5,3
54720,2021-05-04,2021-03-31,67360,551030,-0.057551973,5,3
54721,2021-08-03,2021-06-30,67360,551030,-0.04782565,5,3
54722,2021-11-02,2021-09-30,67360,551030,0.011925092,5,3
54775,2021-02-09,2020-12-31,67598,601010,-0.012378348,0,-2
54776,2021-05-04,2021-03-31,67598,601010,-0.052701637,0,-2
54777,2021-08-03,2021-06-30,67598,601010,-0.0017444796,0,-2
54778,2021-11-02,2021-09-30,67598,601010,-0.021426946,1,-1
54832,2021-02-18,2020-12-31,67774,101020,0.00601402,7,5
54833,2021-05-07,2021-03-31,67774,101020,0.00898516,7,5
54834,2021-07-29,2021-06-30,67774,101020,-0.0038667275,0,-2
54835,2021-11-05,2021-09-30,67774,101020,-0.06888127,8,6
54936,2021-02-03,2020-12-31,67847,151040,-0.04452427,0,-2
54937,2021-05-05,2021-03-31,67847,151040,0.04910858,0,-2
54938,2021-08-11,2021-06-30,67847,151040,-0.0034661707,7,5
54939,2021-11-03,2021-09-30,67847,151040,0.015888762,0,-2
54999,2021-01-27,2020-12-31,68021,402040,-0.05804313,0,-2
55000,2021-04-28,2021-03-31,68021,402040,-0.0077183587,0,-2
55001,2021-07-28,2021-06-30,68021,402040,0.0012678293,0,-2
55058,2021-03-10,2020-12-31,68145,452030,0.06246338,0,-2
55059,2021-05-12,2021-03-31,68145,452030,-0.13195564,0,-2
55060,2021-08-11,2021-06-30,68145,452030,-0.040672287,0,-4
55061,2021-11-10,2021-09-30,68145,452030,0.072956696,0,-1
55114,2021-02-22,2020-12-31,68187,601010,0.0027268964,-3,-3
55115,2021-04-26,2021-03-31,68187,601010,0.00016212135,-10,-12
55116,2021-07-29,2021-06-30,68187,601010,0.023111332,0,-1
55172,2021-01-27,2020-12-31,68196,402030,-0.07650326,0,-2
55173,2021-04-21,2021-03-31,68196,402030,-0.088519335,-1,-3
55174,2021-07-21,2021-06-30,68196,402030,-0.01989714,0,-2
55175,2021-10-20,2021-09-30,68196,402030,0.016385809,0,-2
55232,2021-01-28,2020-12-31,68292,403010,-0.010841989,0,-2
55233,2021-04-28,2021-03-31,68292,403010,-0.014880829,-6,-8
55234,2021-07-28,2021-06-30,68292,403010,0.017178334,0,-2
55235,2021-10-27,2021-09-30,68292,403010,-0.026341662,0,-2
55321,2021-02-05,2020-12-31,68419,403010,-0.02802404,1,0
55322,2021-05-10,2021-03-31,68419,403010,-0.008836165,3,-2
55323,2021-08-06,2021-06-30,68419,403010,0.012458924,0,-2
55324,2021-11-08,2021-09-30,68419,403010,0.036163468,3,1
55447,2021-01-20,2020-12-31,69032,402030,-0.010840013,6,4
55448,2021-04-16,2021-03-31,69032,402030,-0.018715532,1,-1
55449,2021-07-15,2021-06-30,69032,402030,-0.0038344555,0,-2
55450,2021-10-14,2021-09-30,69032,402030,0.017105095,0,-2
55543,2021-01-28,2020-12-31,69586,401010,-0.051405642,7,5
55544,2021-04-22,2021-03-31,69586,401010,0.026881287,-7,-7
55545,2021-07-22,2021-06-30,69586,401010,-0.0356587,0,-2
55546,2021-10-28,2021-09-30,69586,401010,-0.00034302822,0,0
55605,2021-01-27,2020-12-31,69649,402030,0.007012034,7,5
55606,2021-04-28,2021-03-31,69649,402030,-0.00569666,0,-2
55607,2021-07-28,2021-06-30,69649,402030,-0.0010351466,0,-2
55608,2021-10-27,2021-09-30,69649,402030,-0.012299319,0,-2
55639,2021-02-18,2020-12-31,69761,401010,-0.017570842,7,5
55640,2021-04-30,2021-03-31,69761,401010,-0.11211899,0,0
55641,2021-07-28,2021-06-30,69761,401010,0.0346651,0,-2
55642,2021-10-21,2021-09-30,69761,401010,-0.02237911,0,-3
55744,2021-02-02,2020-12-31,70033,251020,-0.20355967,7,5
55745,2021-04-20,2021-03-31,70033,251020,0.19318749,-7,-9
55746,2021-07-21,2021-06-30,70033,251020,-0.065892845,-6,-8
55747,2021-10-27,2021-09-30,70033,251020,0.012299952,1,-1
55800,2021-02-02,2020-12-31,70121,601010,-0.001789819,6,4
55801,2021-04-21,2021-03-31,70121,601010,0.020597147,0,-2
55802,2021-07-26,2021-06-30,70121,601010,-0.022154683,5,3
55803,2021-10-25,2021-09-30,70121,601010,-0.033813518,5,3
56023,2021-01-15,2020-12-31,70519,401010,-0.038447596,0,1
56024,2021-04-15,2021-03-31,70519,401010,-0.0180199,0,-1
56025,2021-07-14,2021-06-30,70519,401010,-0.0057280553,0,-1
56026,2021-10-14,2021-09-30,70519,401010,0.0051358086,0,-15
56118,2021-02-16,2020-12-31,70578,151010,-0.051521476,0,-2
56119,2021-04-27,2021-03-31,70578,151010,-0.025446104,0,-2
56120,2021-07-27,2021-06-30,70578,151010,0.0032883957,0,-2
56121,2021-10-26,2021-09-30,70578,151010,0.0051718215,0,-2
56188,2021-02-10,2020-12-31,70703,601010,0.0026158877,0,-2
56189,2021-05-04,2021-03-31,70703,601010,-0.047213674,1,-1
56190,2021-07-28,2021-06-30,70703,601010,-0.0021015739,0,-2
56191,2021-10-27,2021-09-30,70703,601010,-0.0068817697,0,-2
56264,2021-02-04,2020-12-31,71175,403010,-0.053275593,2,0
56265,2021-05-05,2021-03-31,71175,403010,-0.01732762,2,0
56266,2021-08-03,2021-06-30,71175,403010,-0.074864745,7,5
56267,2021-11-02,2021-09-30,71175,403010,0.002965027,7,5
56323,2021-02-11,2020-12-31,71176,151030,-0.024582582,0,-2
56324,2021-04-22,2021-03-31,71176,151030,-0.0006837315,0,5
56325,2021-07-22,2021-06-30,71176,151030,-0.06921536,0,5
56326,2021-10-21,2021-09-30,71176,151030,-0.032517005,0,-2
56381,2021-02-23,2020-12-31,71271,403010,0.028104747,6,3
56382,2021-05-06,2021-03-31,71271,403010,0.015779158,2,0
56383,2021-08-05,2021-06-30,71271,403010,0.025851049,2,0
56384,2021-11-04,2021-09-30,71271,403010,0.00877402,2,0
56440,2021-02-18,2020-12-31,71298,151040,-0.07761555,8,6
56441,2021-05-05,2021-03-31,71298,151040,0.083115816,0,-2
56442,2021-08-09,2021-06-30,71298,151040,-0.06162739,0,-2
56443,2021-11-04,2021-09-30,71298,151040,0.053387202,0,-2
56495,2021-02-22,2020-12-31,71475,551040,-0.021198807,0,-2
56496,2021-05-03,2021-03-31,71475,551040,0.013887547,0,-2
56497,2021-08-02,2021-06-30,71475,551040,0.008786072,0,-2
56498,2021-11-01,2021-09-30,71475,551040,-0.006935554,0,-2
56555,2021-01-21,2020-12-31,71563,401010,-0.0016893793,-7,-9
56556,2021-04-15,2021-03-31,71563,401010,-0.04125404,0,-6
56557,2021-07-15,2021-06-30,71563,401010,0.017704844,0,-2
56558,2021-10-15,2021-09-30,71563,401010,-0.00043455436,0,-1
56628,2021-03-11,2020-12-31,71985,201060,0.11893274,0,-2
56629,2021-08-05,2021-06-30,71985,201060,0.008808984,0,-2
56630,2021-11-04,2021-09-30,71985,201060,0.16869688,0,-2
56639,2021-02-11,2020-12-31,72119,451030,-0.20163111,0,0
56640,2021-05-04,2021-03-31,72119,451030,-0.02041745,0,-2
56641,2021-08-05,2021-06-30,72119,451030,0.072705,2,0
56642,2021-11-04,2021-09-30,72119,451030,0.0192267,2,0
56690,2021-02-24,2020-12-31,72304,351010,-0.041907653,0,-2
56691,2021-05-05,2021-03-31,72304,351010,0.015845984,0,-2
56692,2021-08-04,2021-06-30,72304,351010,0.1962327,0,-2
56693,2021-11-03,2021-09-30,72304,351010,-0.08101283,0,-2
56745,2021-02-22,2020-12-31,72338,351020,0.019699132,4,2
56746,2021-05-07,2021-03-31,72338,351020,-0.018816808,0,-2
56747,2021-08-06,2021-06-30,72338,351020,-0.016306233,1,-2
56748,2021-11-04,2021-09-30,72338,351020,0.0654815,0,-2
56841,2021-01-19,2020-12-31,72726,402030,-0.025501795,4,2
56842,2021-04-16,2021-03-31,72726,402030,-0.076763146,0,-2
56843,2021-07-16,2021-06-30,72726,402030,0.023499897,0,-2
56844,2021-10-18,2021-09-30,72726,402030,0.032190546,3,1
56888,2021-02-25,2020-12-31,72864,601010,-0.0043015014,0,-2
56889,2021-07-27,2021-06-30,72864,601010,-0.024391664,0,-1
56890,2021-10-28,2021-09-30,72864,601010,0.0030352725,0,-2
56946,2021-02-10,2020-12-31,72980,403010,0.06604093,7,5
56947,2021-04-21,2021-03-31,72980,403010,0.013434814,0,-2
56948,2021-07-21,2021-06-30,72980,403010,0.021516826,0,-2
56949,2021-10-27,2021-09-30,72980,403010,-0.026897302,7,5
57006,2021-01-29,2020-12-31,72996,402030,0.06914152,1,-1
57007,2021-04-27,2021-03-31,72996,402030,-0.005061259,-2,-4
57008,2021-07-28,2021-06-30,72996,402030,0.013231675,-1,-2
57009,2021-10-27,2021-09-30,72996,402030,-0.034219407,0,-1
57066,2021-01-27,2020-12-31,73139,351010,-0.021943063,1,-1
57067,2021-04-27,2021-03-31,73139,351010,-0.031208957,-2,-4
57068,2021-07-27,2021-06-30,73139,351010,0.022922022,-2,-4
57069,2021-10-28,2021-09-30,73139,351010,-0.025036082,0,-2
57124,2021-02-17,2020-12-31,73219,252020,0.04179739,0,-2
57125,2021-05-05,2021-03-31,73219,252020,0.07203766,0,-2
57126,2021-08-04,2021-06-30,73219,252020,0.05931432,7,5
57127,2021-11-03,2021-09-30,73219,252020,-0.06353591,7,5
57281,2021-01-21,2020-12-31,75034,101010,-0.016107377,1,-1
57282,2021-04-21,2021-03-31,75034,101010,0.017731467,0,-2
57283,2021-07-21,2021-06-30,75034,101010,-0.022101618,0,-2
57284,2021-10-20,2021-09-30,75034,101010,-0.11575155,0,-2
